Currencies,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
USD,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EUR,0.8870393394007837,0.9038899931420236,0.9018962749148441,0.7539405495160791,0.7532342732921573,0.7788477657738277,0.719206748511673,0.7558682186255818,0.7189577990976564,0.6834992133484378,0.7307536326533335
IQD,,,,,,,,,,,
PKR,,,,,,,,,,,
PHP,50.41397060161807,47.500226696112094,45.54143433928945,44.4012615451239,42.474314746187055,42.221429216477745,43.30314172009843,45.07946146220461,47.576188360891805,44.460574439389426,46.06611245946788
SOS,,,,,,,,,,,
UAH,,,,,,,,,,,
COP,,,,,,,,,,,
GBP,0.7769642766458823,0.74090651878677,0.6543219067132816,0.6073583704156861,0.6397384345149018,0.6312732590007811,0.6238417121583658,0.647788679313566,0.6406364796773437,0.5450669593988282,0.49966719465215687
CNY,6.758702747347448,6.644414067645916,6.285394392316409,6.1611990441721565,6.14801381143647,6.309354449635547,6.462405210793771,6.767807337327518,6.831127590616403,6.94845914026016,7.6062904315282305
GEL,,,,,,,,,,,
AUD,1.3049825739729406,1.344874334560701,1.3323591477480468,1.1092388960415684,1.0368822063968626,0.965947967593749,0.969524061383657,1.089508307659302,1.2790675251152337,1.196204117469531,1.1948847064776467
HNL,,,,,,,,,,,
